city,state,no_schooling,nursery_school,kindergarten,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th_no_diploma,hs_diploma,GED_or_alternative_credential,college_less_than_year,college_more_than_year_no_degree,associate_degree,bachelor_degree,master_degree,professional_degree,doctorate_degree,computers_mathematics_statistics,biological_agricultural_environmental_sciences,physical_related_sciences,psychology,social_sciences,engineering,multidisciplinary,science_engineering_related,business,education,literature_languages,liberal_arts_history,visual_performing_arts,communications,other
Holdrege,NE,53,0,0,0,0,3,0,0,0,0,11,40,18,101,41,1201,65,370,617,333,615,160,58,26,15,86,8,26,30,12,17,157,98,282,29,55,15,33,71
Holiday Shores,IL,0,0,0,0,0,0,0,0,0,0,0,0,26,0,70,409,48,187,305,238,409,162,71,0,31,32,26,70,71,74,0,30,140,53,17,61,27,29,14
Holland,MI,1025,29,0,45,196,209,96,179,732,165,966,950,947,1344,1157,14918,2744,4549,8160,4934,12352,5116,721,821,810,1121,850,1186,1354,1832,140,1858,4094,3112,945,1109,662,764,1206
Hollandale,MS,75,0,0,0,20,17,13,14,48,46,58,18,74,69,37,323,42,51,255,85,169,51,19,0,9,30,14,0,6,0,0,32,45,72,0,5,0,0,30
Hollister,CA,831,0,36,40,156,316,502,246,1192,235,622,616,559,578,529,5917,755,1567,5060,2440,3403,810,248,109,164,472,171,263,435,343,31,523,810,348,313,434,108,126,351
Holloman AFB,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,144,27,176,335,280,257,162,8,0,29,3,0,43,15,11,0,26,122,46,13,35,19,43,33
Holly,MI,0,12,0,0,0,0,0,0,7,0,33,67,92,89,173,1650,113,735,1077,461,691,339,9,9,68,20,38,42,43,119,15,104,273,235,35,48,31,46,63
Holly Springs,MS,72,0,0,2,43,0,0,10,23,6,129,62,94,186,13,706,271,65,564,92,275,142,0,23,29,32,5,0,18,0,0,20,145,136,0,25,34,0,25
Holton,KS,0,0,0,0,0,0,0,0,0,27,46,28,26,46,23,697,144,280,219,238,316,142,7,0,0,21,0,21,32,5,0,93,128,130,0,24,0,16,32
Holtville,CA,259,0,5,107,55,55,28,51,352,44,120,232,141,31,145,757,111,198,612,281,472,66,0,0,0,22,0,4,67,16,0,17,42,184,45,78,22,13,63
Homedale,ID,44,0,0,0,0,0,9,84,86,15,53,73,88,55,21,507,126,85,173,86,59,32,0,0,0,0,0,5,13,0,0,14,16,43,0,0,0,0,0
Homer,LA,25,0,0,0,0,0,0,0,20,0,87,8,111,107,53,660,187,81,239,59,139,47,13,8,9,24,6,0,5,21,0,32,48,82,0,0,0,0,0
Homerville,GA,64,0,0,0,0,0,0,0,14,35,31,52,104,143,49,630,102,80,207,80,117,26,14,11,1,20,0,8,0,5,0,26,58,42,0,0,8,0,8
Homesteads Addition,TX,100,0,0,46,60,286,0,118,109,100,175,109,54,228,113,1224,194,447,358,299,172,0,14,0,0,0,0,14,26,0,0,22,65,0,0,38,0,24,21
Hominy,OK,13,0,0,3,0,0,0,0,33,55,38,98,110,97,60,717,384,158,336,124,139,87,5,15,0,5,15,19,0,25,0,25,44,74,8,28,5,6,5
Homosassa Springs--Beverly Hills--Citrus Springs,FL,648,88,0,0,66,33,20,119,114,223,810,828,1932,1860,1530,19068,4210,5440,9476,5407,6473,2541,770,318,194,398,331,511,598,793,0,1707,1755,2144,407,747,277,332,594
Hondo,TX,170,0,6,0,0,12,4,32,96,16,69,153,169,90,69,984,244,234,539,165,491,145,11,4,13,82,10,8,12,37,0,48,130,150,36,16,14,0,113
Honea Path,SC,40,16,0,0,0,18,0,0,58,20,133,160,101,31,0,685,125,149,444,251,272,40,0,12,0,18,21,0,0,12,22,19,43,57,0,64,0,22,46
Honeoye Falls,NY,20,0,0,0,0,0,0,20,0,0,11,34,53,35,33,672,95,178,483,604,797,553,117,40,49,63,34,168,118,177,13,262,207,202,109,113,50,30,54
Honesdale,PA,24,0,0,0,0,0,0,0,73,26,45,38,116,269,45,1355,221,206,471,173,597,208,12,31,1,15,14,41,46,4,2,179,91,153,95,80,37,57,100
Honokaa,HI,5,0,0,0,0,17,33,0,83,5,15,8,43,0,32,638,63,69,274,254,165,117,0,23,0,75,6,9,0,22,0,45,16,110,9,0,3,0,10
Hood River,OR,162,11,0,46,21,47,55,8,205,39,283,36,319,208,91,2036,356,526,1425,612,2444,975,255,141,171,505,231,178,377,304,40,334,349,475,304,357,138,108,278
Hooks,TX,12,0,0,0,0,0,0,0,69,13,30,86,45,37,9,676,221,87,307,95,106,38,17,10,17,30,10,11,12,0,0,0,28,58,8,0,0,5,10
Hoopeston,IL,104,0,0,0,0,0,0,0,42,0,90,73,156,105,103,1422,424,205,393,284,269,57,14,0,44,40,13,27,22,0,0,76,86,89,0,0,0,0,0
Hoosick Falls,NY,10,0,0,0,0,0,0,10,0,8,16,34,17,56,30,707,181,182,325,323,366,133,11,0,16,6,9,50,9,8,0,67,108,169,23,23,17,39,19
Hope,AR,96,0,28,0,44,32,98,0,317,281,87,295,405,281,131,1740,143,305,993,346,417,157,0,37,22,69,0,12,34,78,9,60,60,202,29,21,33,0,16
Hopkinsville,KY,222,0,0,0,21,4,30,37,169,126,553,507,525,865,290,5337,1426,2021,3226,2210,2053,1283,253,86,98,206,33,110,260,176,45,270,836,898,128,257,74,116,339
Horicon,WI,5,0,0,1,0,0,0,0,0,0,75,40,90,46,38,839,104,187,293,214,271,76,0,0,14,12,9,16,16,68,0,18,81,70,0,40,8,10,24
Hornell,NY,61,0,0,0,0,0,0,1,9,36,34,80,185,212,118,2360,499,452,758,1048,665,551,50,35,25,67,24,187,39,52,9,62,148,431,66,99,28,29,127
Horse Cave,KY,43,0,0,0,0,0,4,17,17,32,87,111,102,81,76,841,309,210,373,129,175,117,17,7,12,17,6,8,17,14,10,42,37,106,12,20,10,4,29
Horseshoe Bay,TX,1,0,0,0,0,0,15,0,9,6,3,11,115,53,12,496,68,148,435,165,748,141,59,34,0,48,25,60,58,138,0,64,361,123,20,18,4,31,48
Hot Springs,AR,307,0,0,17,35,109,61,18,399,216,699,671,898,1091,522,9556,2153,3123,7162,2665,5737,2212,656,310,263,673,337,384,498,452,5,1133,1612,2036,362,423,367,457,636
Hot Springs,SD,13,0,0,0,0,0,0,0,6,4,39,36,40,41,11,665,143,263,454,239,470,86,26,4,44,80,13,32,0,17,10,39,78,202,25,32,38,11,36
Hot Springs Village,AR,17,0,0,0,0,0,21,0,26,0,0,29,83,65,80,1697,207,836,1565,536,1775,944,149,107,141,265,169,60,151,290,0,301,516,849,55,253,60,93,92
Houghton,MI,36,0,0,0,0,0,10,52,0,38,53,6,189,104,42,1867,177,359,1043,587,1857,708,130,515,153,272,292,80,199,629,18,319,346,444,238,82,158,48,99
Houghton Lake,MI,77,0,0,0,0,8,0,0,19,24,74,70,187,278,90,2255,222,655,993,616,503,167,10,64,0,21,42,44,26,87,0,90,159,157,1,56,3,43,152
Houlton,ME,15,0,0,0,0,0,7,0,4,0,135,73,36,74,47,1051,253,141,402,292,358,119,17,47,0,20,18,44,24,7,16,114,40,167,32,67,0,6,77
Houma,LA,1714,0,25,53,18,346,409,497,675,1882,2986,2897,4259,3593,1557,31378,5307,4634,12625,4775,11268,3633,862,569,490,1066,687,475,632,988,46,2610,2930,3889,339,1145,412,466,1111
Houston,MS,10,0,0,0,0,5,7,5,81,122,79,56,60,60,40,371,146,61,204,109,93,32,25,0,0,17,19,16,5,0,0,16,13,65,0,0,0,0,6
Houston,TX,74006,867,845,4556,12802,24179,16139,23302,105713,28794,44062,93331,59142,72796,61476,636016,110535,172658,525557,207395,677886,260727,68086,48412,51033,61753,53980,41818,69268,148774,10639,102697,262191,115465,38117,41706,31568,36276,55074
Houtzdale,PA,78,13,0,18,2,5,0,2,27,0,35,88,146,149,129,918,658,258,253,201,172,24,2,2,2,2,6,20,0,4,4,14,64,60,6,24,8,3,27
Hudson,NY,154,0,1,0,0,20,16,9,23,46,77,183,221,455,175,2225,577,550,878,858,846,547,147,25,72,70,56,61,207,14,0,110,192,193,174,240,196,96,98
Hudson,WI,24,0,0,0,0,0,3,15,4,0,69,18,153,93,101,3483,379,863,2310,1749,4583,1465,365,245,199,522,261,331,471,337,33,646,1663,1136,344,308,411,269,490
Hugo,OK,37,0,0,0,0,0,0,0,7,32,157,137,260,164,71,1012,194,263,390,149,237,69,47,0,7,0,18,12,36,29,0,13,55,142,0,36,0,8,37
Hugoton,KS,59,0,0,9,0,0,0,0,55,67,44,63,9,75,21,761,174,267,315,105,332,63,0,0,0,25,29,21,36,0,0,75,89,126,7,8,16,21,13
Humboldt,IA,25,0,0,0,0,0,0,0,0,13,82,9,40,62,74,1158,154,256,545,495,476,135,31,0,35,118,36,14,29,14,0,12,184,189,17,12,0,20,19
Humboldt,TN,82,0,0,9,0,5,33,12,0,23,217,157,221,200,193,1749,544,283,1463,463,458,228,16,22,0,15,43,23,38,61,3,31,181,236,26,77,23,0,7
Huntingburg,IN,85,0,0,0,0,114,0,31,204,84,125,76,59,153,38,1159,134,187,362,370,286,70,68,11,14,9,39,0,47,26,0,71,107,98,22,43,1,16,22
Huntingdon,PA,107,0,0,0,0,0,9,2,11,0,64,120,271,280,87,2240,1471,780,634,412,678,283,76,96,55,43,105,61,95,26,2,81,144,240,82,220,39,27,115
Huntington,IN,117,0,0,0,0,0,28,0,30,33,129,216,379,313,302,4279,1053,669,1523,773,1021,626,52,99,66,53,14,132,78,105,0,144,284,550,71,250,54,83,113
Huntington,WV,1075,0,0,12,28,104,92,230,583,521,2183,2394,3437,3596,1779,38815,8134,9955,21354,12296,19150,9720,2573,1469,900,2257,1292,1731,1818,1960,117,5254,6180,7078,1074,1514,766,1150,2195
Huntsville,AL,1387,43,1,17,97,269,254,153,699,585,1566,2677,3550,3607,2410,31165,7943,10179,33535,16745,51864,24229,3247,3678,6800,4103,4118,3384,4340,15172,269,6770,19000,8932,2775,3735,2548,2411,4434
Huntsville,TX,111,0,0,69,13,68,61,89,518,211,307,756,801,840,204,4015,3738,1145,3804,1008,2891,782,135,297,138,207,285,139,287,138,0,346,866,801,336,172,75,77,349
Huron,CA,424,0,0,66,135,219,54,95,546,89,142,267,110,185,58,412,78,30,190,114,36,23,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,13
Huron,SD,330,0,0,0,4,11,19,188,61,12,473,120,183,195,75,2472,267,589,1092,929,1213,348,3,18,21,120,18,34,111,161,6,64,419,477,64,28,38,45,110
Hurricane,UT,52,0,0,0,0,4,0,11,14,25,26,70,192,255,59,2795,461,1445,2058,1086,1478,630,42,61,162,84,56,224,162,48,7,328,296,687,110,44,117,29,175
Hutchinson,KS,263,0,0,9,0,23,46,25,168,54,544,498,661,949,504,6833,1735,3592,5305,2845,3996,1523,197,112,135,466,144,348,273,177,18,648,1182,1486,106,392,197,147,617
Hutchinson,MN,57,0,0,0,0,0,0,0,0,5,133,83,115,115,51,3126,279,547,1539,1310,1299,407,89,82,27,135,63,51,169,141,0,276,423,331,71,81,105,27,86
Huxley,IA,25,0,0,0,0,0,0,0,0,0,44,5,23,23,64,614,125,183,431,263,628,145,93,22,3,128,3,25,18,4,0,92,240,227,31,60,0,41,59
Idabel,OK,44,0,0,0,0,0,0,0,10,23,104,124,169,122,114,921,275,232,585,260,543,170,25,2,29,27,21,77,56,0,12,23,125,270,28,26,0,39,36
Idaho Falls,ID,647,0,0,70,0,51,101,0,777,160,200,767,723,905,970,12171,2925,4576,9596,6026,10682,3176,541,728,731,1197,785,531,820,2069,64,1804,2711,2672,426,552,338,395,1128
Ilion--Herkimer,NY,212,0,0,0,0,0,14,23,11,47,238,193,363,393,152,4687,989,999,2117,2753,2142,1198,255,112,92,151,122,272,302,219,41,535,497,801,189,224,190,235,222
Imlay City,MI,50,0,0,0,6,0,0,0,313,24,40,38,47,25,94,627,133,162,307,131,236,78,16,9,27,12,0,0,0,27,0,25,112,71,22,30,9,0,21
Immokalee,FL,1324,0,8,106,297,502,533,480,1498,315,400,716,539,485,276,2418,547,685,728,394,310,107,31,29,0,0,26,29,0,97,0,31,145,97,0,0,7,29,45
Incline Village,NV,156,0,9,0,0,82,0,26,155,9,147,161,56,25,154,1219,49,337,1848,607,2822,1143,304,148,97,277,265,178,473,380,4,254,1094,433,193,315,336,184,255
Independence,IA,15,0,0,0,0,0,0,0,28,1,113,24,37,59,44,1335,225,306,387,548,597,106,24,7,7,31,11,9,32,51,0,120,160,268,9,27,0,7,54
Independence,KS,57,15,0,0,0,0,0,0,44,25,60,81,67,137,126,1394,338,753,1018,675,767,320,64,23,29,100,23,32,62,132,0,132,203,301,11,70,53,39,101
Indiana,PA,96,0,0,0,0,0,0,4,15,26,224,185,348,280,46,4575,746,572,1551,944,3291,1556,275,697,123,216,224,235,519,206,13,840,1010,1208,412,307,178,340,482
Indianapolis,IN,9521,147,126,526,807,1198,1446,1471,7468,2561,10372,13581,22291,24198,15398,222378,40889,59827,145675,75428,226779,85025,22812,13782,15883,23425,12680,15447,22269,23828,1847,44233,81160,47808,12698,22262,12715,16223,23182
Indianola,IA,0,0,0,0,0,2,0,0,22,0,66,34,73,133,53,2573,179,778,1135,811,1632,574,237,161,95,207,72,30,185,110,7,237,545,580,194,180,198,45,157
Indianola,MS,114,0,0,0,0,0,13,33,17,55,306,200,162,308,262,1276,300,291,1171,370,699,372,52,51,10,58,49,39,29,0,0,121,314,362,10,17,15,0,187
Indianola,WA,5,0,0,0,0,0,0,0,21,0,9,4,12,64,56,1165,238,389,1313,514,1366,464,63,45,54,115,105,110,209,219,24,207,235,253,151,105,106,71,92
Indiantown,FL,318,0,0,0,143,112,206,32,416,73,185,85,128,73,77,726,174,132,319,119,195,117,0,5,0,0,0,47,89,13,0,26,81,55,6,6,0,0,0
Indio--Cathedral City,CA,4661,37,51,284,1116,2032,1042,1208,9160,1100,3505,6985,4050,5862,7380,52681,6352,16275,44686,16703,40729,15470,6150,2882,1544,3536,2171,3415,7159,3828,355,7128,14820,8711,3378,4405,3300,2714,3471
Ingleside--Aransas Pass,TX,179,0,0,0,58,71,14,62,182,91,133,186,294,340,238,3215,818,676,2260,674,1077,313,18,26,61,58,50,80,62,100,11,158,311,355,52,27,29,37,190
Interlachen,FL,192,0,0,0,4,28,0,0,13,35,101,153,245,116,85,1361,320,272,531,267,131,52,49,0,0,24,0,0,0,17,0,2,8,86,0,2,0,0,93
International Falls,MN,34,0,0,0,0,7,0,0,7,0,172,20,92,193,21,1398,293,390,838,439,834,199,31,24,24,74,33,43,75,59,0,182,187,352,10,52,14,24,77
Iola,KS,0,0,0,0,16,0,0,12,0,0,57,64,81,78,59,905,175,300,660,457,479,198,17,6,41,40,35,24,7,47,65,90,155,155,8,25,27,23,11
Ione,CA,57,0,0,5,14,0,12,42,104,57,163,121,156,632,128,1616,563,623,1159,680,974,225,164,4,17,29,153,72,102,131,0,3,288,346,24,163,45,52,87
Ionia,MI,155,4,0,0,0,0,34,0,19,29,197,203,397,553,160,2170,1728,972,1240,636,872,273,48,4,45,114,5,71,92,42,36,236,205,265,60,28,20,11,98
Iowa,LA,19,0,0,0,0,0,0,0,0,18,40,72,99,82,23,727,130,123,351,156,226,53,0,6,5,9,7,13,0,23,6,66,28,86,16,18,0,0,27
Iowa City,IA,424,0,16,0,16,33,0,57,124,52,630,310,421,546,340,8496,1360,2341,8282,4918,18123,9519,3980,3940,1738,4520,2348,2204,3204,1747,243,4183,4345,3966,3536,2344,1905,1598,2197
Iowa Falls,IA,11,0,0,0,0,0,0,0,34,0,50,58,32,68,20,1058,213,201,565,529,434,95,72,18,8,50,30,31,23,12,0,133,120,194,0,8,12,0,24
Iowa Park,TX,41,0,0,0,0,0,0,15,1,26,45,62,66,125,17,1246,284,325,858,469,323,137,0,13,19,29,0,30,43,0,16,14,127,138,19,11,0,0,93
Iron Mountain--Kingsford,MI,53,0,0,0,0,0,0,9,1,9,155,105,175,292,249,4997,520,893,1904,1317,1757,524,124,51,77,148,26,24,189,198,28,381,481,601,22,151,84,21,213
Iron River,MI,55,0,0,0,0,0,0,0,0,0,32,53,24,64,24,1147,109,114,265,166,261,60,11,1,0,17,7,0,27,56,0,59,54,88,22,35,10,8,7
Ironton,MO,7,0,0,0,0,0,0,3,23,17,111,58,74,95,36,480,107,169,241,182,194,92,13,25,15,21,12,0,31,7,2,14,54,104,5,21,10,10,33
Ironwood,MI,48,0,2,0,0,0,4,18,6,16,38,17,195,102,60,1654,248,456,836,553,565,204,33,21,22,83,83,34,22,64,6,119,129,168,18,33,5,40,46
Irrigon,OR,5,0,0,0,20,0,4,0,58,0,36,20,36,76,23,606,98,166,293,139,171,35,0,0,17,4,9,4,28,11,8,18,23,34,3,38,0,11,0
Irvine,KY,58,0,0,0,5,0,15,11,43,46,149,78,148,116,73,679,232,128,260,89,141,32,18,3,8,8,7,0,8,3,0,41,29,47,0,18,22,7,15
Ishpeming,MI,16,0,0,0,0,0,0,6,30,0,20,86,80,117,82,3053,311,698,1534,929,1553,439,97,41,111,97,92,73,148,128,16,378,337,483,84,78,88,74,199
Ithaca,NY,152,0,0,0,0,16,28,21,50,24,82,76,170,211,169,2597,389,744,1782,1358,6030,5532,1015,3499,1207,2236,1222,760,2127,1655,85,1109,1157,1249,1965,792,1304,473,532
Itta Bena,MS,63,0,0,0,19,0,23,2,34,48,74,67,95,77,62,410,138,101,341,62,145,126,0,28,0,2,0,10,26,0,0,31,26,165,12,19,0,10,10
Jacksboro,TX,119,0,0,0,0,25,0,46,38,28,59,78,50,117,35,758,311,216,287,114,154,92,7,0,9,32,5,9,9,15,0,44,18,83,0,12,20,4,17
Jackson,AL,8,0,0,0,0,0,0,25,8,0,8,65,18,83,30,678,139,54,224,208,186,138,7,0,12,14,20,0,6,15,0,32,31,188,14,7,0,8,14
Jackson,CA,20,0,0,0,0,9,0,0,54,4,16,50,45,102,83,1243,109,454,1290,372,737,197,107,20,14,96,39,57,60,84,18,149,204,200,18,66,46,31,27
Jackson,GA,22,0,0,0,10,55,15,10,14,52,76,206,136,289,35,1083,188,214,405,134,186,17,29,15,0,8,0,43,21,0,0,24,85,44,19,21,3,0,0
Jackson,KY,8,0,0,0,13,8,18,14,22,36,167,113,91,80,37,437,73,98,268,134,100,117,31,9,3,20,9,0,5,0,4,56,14,96,12,22,9,0,20
Jackson,MI,453,0,0,0,10,53,53,14,88,135,788,1090,1485,1919,825,16728,4679,5431,9303,5312,7544,2391,533,341,603,330,372,396,789,721,93,1280,2363,2307,482,548,263,417,916
Jackson,MN,16,0,0,0,0,0,7,0,0,0,85,26,7,70,60,656,64,150,413,252,312,119,32,8,0,30,15,16,24,95,8,22,71,162,0,8,0,17,35
Jackson,MS,2200,46,43,60,42,232,269,284,575,1234,2237,3018,4796,6469,3634,41776,8685,11021,43325,18869,45650,20343,6930,3983,2750,5361,2146,3271,4236,3558,322,10607,19471,12805,3114,3833,2108,2383,5326
Jackson,TN,408,0,26,28,3,43,37,58,221,242,683,619,996,1347,921,12114,2293,2404,7701,3095,8364,2554,709,940,381,929,538,465,606,508,65,1667,3161,2661,358,692,209,436,762
Jackson,WY,8,37,43,0,0,0,23,0,104,27,24,116,1,105,44,1927,368,189,1559,341,3243,886,138,121,79,628,175,171,288,216,12,468,683,606,162,341,314,134,419
Jacksonville,FL,7757,55,224,179,245,952,965,949,3035,2683,5368,9104,14779,16137,13877,172695,31436,54876,115647,73283,146921,49593,12458,6452,11621,10611,6192,11205,17285,13716,1700,23230,58135,28681,7868,11112,6674,8284,12851
Jacksonville,IL,200,0,0,0,18,3,0,18,50,27,250,200,393,336,129,5243,913,1216,1880,851,1980,991,144,142,177,180,49,181,252,32,0,352,525,842,192,296,86,96,251
Jacksonville,NC,330,0,0,6,27,12,23,135,179,48,304,542,881,948,738,12318,2044,5817,11160,5266,7355,1934,516,300,288,524,267,752,1083,182,79,1361,1658,1924,262,564,405,261,1285
Jacksonville,TX,295,0,10,0,105,92,15,61,438,14,269,316,271,249,174,1999,476,351,1041,392,572,245,80,79,26,26,26,103,9,66,8,105,90,257,22,80,51,19,119
Jackson--Wellston,OH,69,0,0,0,0,2,0,0,10,34,224,144,284,314,215,3229,320,397,1067,684,919,464,0,0,31,9,18,52,86,18,0,198,184,629,71,58,18,66,127
Jaffrey,NH,10,0,0,0,0,0,0,0,0,22,20,21,12,98,29,620,199,126,229,62,223,3,15,0,0,0,0,0,0,0,0,51,85,56,1,30,19,0,0
Jamestown,NY,483,0,2,2,0,35,10,11,78,96,268,522,909,747,491,7893,1856,2095,3551,3915,3329,1851,479,201,154,246,183,499,623,212,29,684,926,1480,269,314,200,144,415
Jamestown,ND,76,0,0,0,36,0,0,22,8,8,280,118,264,206,146,3018,779,640,1449,965,2006,335,84,28,37,202,49,120,160,62,0,428,437,677,118,132,66,66,261
Jamestown,OH,5,0,0,0,0,2,0,0,2,2,16,45,75,69,38,924,102,331,505,219,174,112,9,14,3,4,6,19,19,24,9,45,44,103,18,24,10,2,22
Janesville,WI,379,53,5,9,5,10,18,19,117,62,455,307,618,1084,1073,14884,2650,3707,6941,4951,6761,2726,524,244,440,690,198,500,601,510,88,1284,2040,2429,452,405,469,416,766
Jasper,AL,108,0,0,19,18,17,36,109,189,25,157,262,214,274,103,2399,615,642,1421,785,1055,531,146,95,17,76,104,88,65,71,31,251,380,500,44,102,45,0,151
Jasper,FL,15,0,0,0,10,0,0,0,18,53,103,219,262,282,37,892,425,163,247,189,188,45,24,4,6,0,0,16,8,15,0,23,34,102,36,2,20,8,15
Jasper,GA,55,0,0,0,0,0,0,0,82,199,45,72,209,143,124,866,371,233,481,347,429,153,115,11,9,7,16,0,81,11,0,179,91,123,27,22,97,9,36
Jasper,IN,246,0,0,0,0,18,0,0,94,97,169,123,152,189,215,3677,412,462,1366,1419,1720,580,80,80,14,108,33,62,60,189,0,256,676,604,49,123,131,81,149
Jasper,TN,48,0,0,0,0,0,0,3,42,27,58,0,105,116,49,783,115,37,456,195,278,137,14,0,0,20,0,39,15,15,0,71,111,120,18,0,9,0,11
Jasper,TX,109,0,0,0,0,2,7,11,38,53,46,129,191,202,95,1652,248,296,695,164,332,73,16,47,14,13,21,16,16,33,10,27,100,149,0,57,7,16,51
Jeanerette,LA,47,0,0,0,0,28,30,25,42,0,93,162,212,215,58,1695,375,195,650,55,303,77,32,0,0,73,0,36,17,0,6,0,183,114,0,6,0,0,15
Jean Lafitte,LA,44,0,0,0,0,14,20,28,45,120,70,62,92,22,30,563,118,76,283,114,101,7,0,5,8,0,5,8,26,7,0,15,10,20,0,6,0,8,0
Jefferson,GA,58,0,0,0,0,0,0,198,74,112,62,160,187,167,60,1838,333,544,1117,755,1276,459,128,9,143,151,19,123,37,117,0,164,589,355,65,17,33,0,113
Jefferson,IA,17,0,0,0,0,0,0,0,0,9,23,51,27,53,49,751,96,248,404,354,421,148,13,12,0,57,26,10,7,0,0,101,87,162,0,91,11,19,50
Jefferson,NC,35,0,0,0,12,8,52,44,41,20,85,87,212,94,47,753,182,181,505,298,328,114,5,0,14,16,0,11,31,14,5,54,66,134,23,45,2,29,29
Jefferson,OH,2,0,0,0,0,0,0,0,0,4,0,7,56,113,26,850,112,201,372,299,113,133,14,0,0,20,15,13,23,14,0,38,20,75,35,27,14,0,0
Jefferson City,MO,165,1,0,0,0,2,9,40,33,40,741,499,816,549,418,9264,2477,2397,6366,3130,8750,3334,703,398,789,926,369,711,1116,758,87,1121,3213,2108,374,783,328,447,1333
Jefferson Township North,NJ,28,0,0,0,0,0,0,10,21,9,92,52,91,22,161,2532,182,565,887,854,2421,1137,103,62,221,201,98,236,277,307,15,223,820,711,156,101,224,91,194
Jena,LA,43,28,0,0,2,0,0,120,49,90,81,78,99,94,20,875,403,141,234,235,284,64,16,0,0,23,0,39,0,0,0,85,71,122,18,0,0,18,6
Jennings,LA,141,0,0,0,0,4,25,46,44,105,327,177,298,260,145,2091,351,307,867,308,506,192,38,17,25,50,0,39,21,0,0,80,110,289,9,37,48,53,37
Jerome,ID,163,0,0,40,55,55,0,29,463,0,261,361,229,286,107,1378,380,552,715,401,565,120,12,0,0,45,17,44,4,48,16,118,154,164,43,10,8,10,61
Jersey Shore,PA,51,0,0,0,0,0,0,0,5,12,113,220,215,225,69,2618,408,453,767,701,658,127,9,31,34,103,31,94,8,57,0,59,145,221,17,42,14,9,63
Jerseyville,IL,16,0,0,0,0,0,4,0,13,0,154,119,106,58,95,1984,320,432,1025,841,682,325,13,35,101,35,20,0,111,27,0,143,250,227,0,35,74,0,84
Jesup,GA,247,0,3,0,0,62,32,99,4,45,62,178,249,153,99,2252,495,397,1115,369,652,247,60,40,50,94,73,35,98,56,0,77,155,258,0,93,20,21,87
Jewett City,CT,4,0,0,0,0,0,30,4,5,10,186,169,169,244,79,2037,609,588,806,538,516,350,17,0,22,21,22,22,59,80,0,136,146,227,12,55,17,42,83
Jim Thorpe,PA,38,0,0,0,0,0,9,0,0,0,34,59,199,77,93,1668,119,439,407,323,458,148,26,0,54,15,0,13,38,15,0,23,88,195,2,11,32,31,128
Johnson City,TN,711,15,18,15,28,142,161,181,412,646,2167,1374,2182,1970,1222,20500,4884,4364,12921,4724,14818,6269,1673,1829,981,2096,1191,1405,1455,1211,174,3746,4887,3542,1314,1603,763,652,1915
Johnson Creek,WI,14,0,0,0,0,0,0,3,0,0,27,8,16,31,30,432,66,216,302,187,448,135,11,11,17,42,0,36,45,49,0,71,141,70,22,28,33,13,63
Johnson Lane,NV,22,0,0,0,5,0,20,0,0,0,15,33,13,46,56,884,85,456,770,449,701,342,59,27,46,68,0,16,51,171,0,52,225,272,15,97,28,74,81
Johnston City,IL,19,0,2,0,0,0,2,1,25,0,43,47,61,98,39,643,307,278,374,264,114,39,0,9,0,0,0,0,23,0,0,60,26,53,0,0,0,0,0
Johnstown,CO,19,0,0,0,0,0,0,0,111,45,92,195,254,164,180,2371,602,639,2294,1003,1619,662,74,32,242,279,69,196,101,179,17,171,414,384,99,57,39,126,140
Johnstown,OH,21,0,0,0,0,0,0,0,0,0,14,90,34,83,116,1095,91,329,366,254,484,171,84,64,0,0,80,24,47,44,0,117,232,139,10,23,58,25,32
Johnstown,PA,402,0,0,5,4,23,20,13,129,133,701,478,901,1196,814,19023,2135,3105,4692,4172,6387,2387,784,333,374,686,389,644,835,662,29,1284,2032,2002,381,459,153,272,449
Jonesboro,AR,526,0,18,0,0,30,6,29,194,125,630,531,899,1197,535,10299,2414,2843,7356,2551,7446,3111,699,740,636,1135,305,613,599,449,99,1595,2647,2439,325,564,346,626,634
Jonesboro,LA,32,0,0,0,0,5,30,0,46,90,160,131,259,233,14,1300,265,138,487,124,228,101,3,6,32,0,11,4,23,10,0,53,103,95,8,5,0,0,30
Jones Creek,TX,17,0,0,0,8,0,3,17,32,15,64,74,89,100,41,635,338,181,398,156,110,17,0,0,3,7,6,0,5,14,7,3,19,47,0,18,0,12,4
Joplin,MO,280,0,0,8,50,0,11,25,203,153,815,1016,1226,1423,833,14880,3113,4272,8508,3463,8998,3313,699,474,471,854,337,575,731,616,24,1525,2761,2822,579,859,553,486,1314
Jordan,MN,0,0,0,0,0,0,0,0,0,0,13,34,15,64,17,966,128,321,486,456,813,156,8,15,6,75,43,27,29,54,18,56,256,243,24,76,36,57,86
Junction,TX,43,0,0,0,0,9,0,30,23,7,58,27,64,87,45,502,101,241,223,108,178,81,17,0,0,52,19,10,0,26,7,22,27,58,13,12,0,6,34
Junction City,KS,99,7,4,0,14,11,10,111,64,34,166,155,193,455,136,4467,1111,1988,4550,2275,2680,916,85,152,142,230,76,146,421,36,18,465,744,716,68,304,171,76,520
Junction City,OR,24,0,8,0,5,0,0,8,16,15,108,85,105,154,109,1105,202,443,853,341,412,149,24,14,0,50,31,66,18,80,22,43,46,72,41,60,47,42,21
